80	80	46	3,8	5,2	5	7,64	6	6,4	 	26	80,1	20	8,49	3,69
100	100	55	4,1	5,7	7	10,3	8,09	8,4	 	30	171	34,2	15,9	5,79
120	120	64	4,4	6,3	7	13,2	10,36	8,4	 	36	318	53	27,7	8,65
140	140	73	4,7	6,9	7	16,4	12,87	11	 	40	541	77,3	44,9	12,3
160	160	82	5	7,4	9	20,1	15,78	13	 	44	869	109	68,3	16,7
180	180	91	5,3	8	9	23,9	18,76	13	 	50	1320	146	101	22,2
200	200	100	5,6	8,5	12	28,5	22,37	13	67	56	1940	194	142	28,5
220	220	110	5,9	9,2	12	33,4	26,22	13	67	60	2770	252	205	37,3
240	240	120	6,2	9,8	15	39,1	30,69	13	73	68	3890	324	284	47,3
270	270	135	6,6	10,2	15	45,9	36,03	17	82	72	5790	429	420	62,2
300	300	150	7,1	10,7	15	53,8	42,23	21	88	80	8360	557	604	80,5
330	330	160	7,5	11,5	18	62,6	49,14	21	95	86	11770	713	788	98,5
360	360	170	8	12,7	18	72,7	57,07	25	107	90	16270	904	1040	123
400	400	180	8,6	13,5	21	84,5	66,33	25	114	96	23130	1160	1320	146
450	450	190	9,4	14,6	21	98,8	77,56	28	121	106	33740	1500	1680	176
500	500	200	10,2	16	21	116	91,06	28	122	110	48200	1930	2140	214
550	550	210	11,1	17,2	24	134	105,19	28	129	120	37120	2440	2670	254
600	600	220	12	19	24	156	122,46	28	130	120	92080	3070	3390	308
